source,type,dochead,sender,receiver,docbody,year,month,date,dateISO8601,location,docbody_wordcount,Yearindecimal
"y pre""",1824,March,12,1824-03-12,U. S. Attorney's Office PENSACOLA,5761,,,,,,
"NA:HF, 19 Cong., 1 sess.: C*",Petition,PETITION TO CONGRESS BY TRUSTEES OF KENTUCKY INSTITUTION FOR THE DEAF AND DUMB,,,"To the Honble The Congress of the United States The petition of the Trustees of The Kentucky institution for the Tuition of the Deaf and Dumb respectfully states that they were incorporated by act of the Legislature of Kentucky passed at their October Session 1822.â€ That a grant was made of $3000 to enable them to put the Institution into operation, which was effected in April followingâ€”Soon after the commencement of our School applications have been made from various parts of the western Country to admit Pupils, this school being the only one west of the mountains It is expected that the number of pupils at the end of 2 months will nearly reach forty and from the difficulty of establishing schools and obtaining qualified Teachers it is not expected that another institution of the kind will be put in operation West of the mountains for a considerable time to come It is therefore confidently expected that this Institution, located, as it is, in the centre of the Western States will be looked to for the instruction of mutes by those States Accordingly the Legislature by an amended clause in our Charter made at the last Session has made provision for the admission of pupils from other States The Legislature of Kentucky actuated by those benevolent feelings which adorn the human heart have granted us such donations as the state of her Treasury Warranted, but it is nevertheless insufficient to enable us to conduct it in the best manner and upon such a scale as to supply the demand for instructionâ€”The expenses of such Institutions are much greater, than ordinary Literary Institutions, in proporportion to the number of pupils. It is also a lamentable fact that much the largest number of deaf and dumb persons are found in the poor and indigent classes of Society and without the charitable aid of the Government, to the exertions of individuals, great numbers of those children of misfortune must forever be debarred of the means of restoration from mental darkness, to their proper rank in the scale of beingâ€” Your Petitioners cannot entertain a doubt, that our national Legislature will be actuated by those feelings which have characterised the acts of every other, before whom the claim has been brought of those, whom, God in the mysterious dispensations of his Providence, has deprived of the faculty of hearing and of speech, of whom, an eloquent divine has said â€œsilence like theirs is eloquence,â€ Your Petitioners were gratified to find that a former Congress gave with a liberal hand aid to the Hartford Institution, located in a convenient place to supply the North Eastern Section of the Union, and we hope that the national bounty will be extended to our Institution similarly located in the west. Your Petitioners refer for particular information of the state of our Institution to the documents herewith transmittedâ€”We therefore pray that Congress will grant such a donation as in their wisdom may seem proper and your Petitioners as in duty bound will ever pray By order Superintending Committee D G. COWAN B. H. PERKINS J BARBOUR W. MILLER E. McDOWELL J FISHER DANVILLE Mar 15 1824 [Endorsed] Memorial of the Superintending Committee of the Deaf & Dumb Asylum of Kentucky Moore of Kent, 14 Select (7) *",1824,March,15,1824-03-15,,548,1824.0315
"NA:WD, SW Lets. Recd., G 5:ALS",Correspondence,JAMES GADSDEN TO THE SECRETARY OF WAR,JAMES GADSDEN,THE SECRETARY OF WAR,"DEAR SIR I find by the papers that an appropriation for opening the road between St Augustine & Pensacola has passed both houses of Congressâ€â€”I take the liberty of suggesting the propriety of commencing at both extremities at the same timeâ€”This will greatly expedite the operation and prove a great convenience to the Population in this quarter by facilitating the communication between the St Johns & Alachuaâ€”I should suppose the garrison of St Augustin, if reinforced with the company at Charleston belonging to this station, might furnish a detail adequate to open the road as far as the Sewaney- Your ob Svt JAMES GADSDEN [Endorsed] Gadsden. J. S. Augustine, 16 March, 1824 relative to the road between S*Augustine & Pensacola",1824,March,16,1824-03-16,ST. AUGUSTINE,120,1824.0316
"NA:SD, Misc. Letters:LS",Correspondence,WILLIAM REYNOLDS AND ANTONIO ALWAREZ TO THE SECRETARY OF STATE,WILLIAM REYNOLDS AND ANTONIO ALWAREZ,THE SECRETARY OF STATE,"TO THE HONORABLE JOHN Q. ADAMS. - SIR. In a letter received from Fontaine Maury Esquire dated 6th January we find the following â€œAt the same time that I give you this information, I am directed to remark to you, that this appointment was by no means considered a permanent one, and that both the President, and Secretary of State, have been disappointed at not having long since been advised of the complete accomplishment of the duties appertaining to it. It is earnestly hoped and expected of you and your associate that you will bring this business to as spedy a close, as the circumstances of the case may admit of, and that you will give satisfactory explanations for its having been thus long kept open.â€.â€ In compliance with the above instructions we reply that we never did consider the appointment a permanent one, that from the terms of our Commission which directs us â€œto select from them for preservation among the archives of the Territory, â€œAll archives and Documents which relate directly to the property and sovereignty of the Provinces of East and West Florida, to take an Inventory of the same, and also of all other Documents and papers found among them.â€ we concluded that the Government was not satisfied with the manner in which the Documents had been previously examined by order of Mr. Worthington, and knowing that in that examination many Bundles of papers were not even untied, but retained or returned as was judg"" expedient by the mere reading of the label, and that this mode was by no means satisfactory to the people, as enquiries were daily making for papers said to have existed in the Office under the Spanish Government but were not to be found among those retained by the former Commissioners; under those circumstances we considered it our duty to examine and read every Document seperately in order to enable us to make that selection which the Government required and which the inhabitants expected of us. This duty we have performed in a faithful and attentive manner and have selected from 64.299â€”Documents 423. many of which have already proven to be important to the Board of Land Commissioners and many others are equally so to private individuals. We now enclose a Copy of the Inventory in English which will serve further to show the manner in which we have executed the Commission,â€ as also our separate acts for the ballance of pay due us, * Not found. See ante, p. 820. and the account of the expences incurred in the course of the examination; we have in our present account deducted the number of days which we thought would have been deducted from the first quarters salary, as in our letter to the Department dated August 1823. we stated that the examination had been suspended from the 24"" May to 7* July in consequence of Mr. Reynolds being engaged as a Member of the Legislative Councilâ€” We trust this explanation will prove as satisfactory to the Government as the manner of executing our Commission has to people of this part of the Territory. We are with much respect Sir your very Humble and Obedient Servantsâ€” WILL REYNOLDS ANTONIO ALVAREZ [Addressed] Honorable John Quincy Adams. Secretary of State. [Endorsed] Reynolds and Alvares Antonio St Augustine, 16 March 1824 Recd 10th April Their a/cs & vindication",1824,March,16,1824-03-16,ST. AUGUSTINE,563,1824.0316
"NA:OIA, Lets. Recd. (Seminoles):ALS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF WAR,GOVERNOR DUVAL,THE SECRETARY OF WAR,"HONâ€ JOHN. C. CALHOUN Secretary of War SIR Some short time before the meeting of the present congress I was applied to by several of the most influential Chiefs of the Seminole Indians to allow them to visit Washington As congress was about to assemble I thought it would be improper to permit them to go, at a time you would be so pressed with important business-I deem it my duty to apprise you of the desire of the Chiefs, before I give them permission and to await your answer on the subject. I would recommend that Neamathala and, a few of the head chiefs, should be allowed to visit Washington, Neamathala is a man of uncommon abilities and has great influence, with his Nation, He is one of the most eloquent men I have ever heard If this chief could be attached warmly to our Government, it would cirtainly be good policy, to acquire his confidence & friendship "" I am Respectfully Your Obt. Sevt. Wm P. DUWAL [Addressed] Hon"" John. C. Calhoun Secretary of War Washingtonâ€” Cityâ€”[Postmarked] Pensacola March 19 Free [Endorsed] Pensacola March 19. 1824. His Excell, Wm. P. DuVal. The Indians wish to visit the Seat of Government, recommends that they be indulgedâ€”Speaks highly of the Chief Neamathlaâ€“",1824,March,19,1824-03-19,PENSACOLA,212,1824.0319
"NA:OIA, Lets. Recd. (Fla.):ALS",Correspondence,JAMES GADSDEN TO THE SECRETARY OF WAR,JAMES GADSDEN,THE SECRETARY OF WAR,"SIR By Lieu"" Albertiâ€ I informed you of my return to this place; I have now the honor to report more in detail as to my operations under the commission to survey the Indian boundary lineâ€”The limits allotted the Indians were to commence at a point 5 miles North of Okehumke; but if on examination of the Country it should be found that there was not a sufficient quantity of land adequate to the support of the Indians to be received within the boundaries designated; then the north line was to be extended so as to ensure that objectâ€”On examination I found the country fully equal to the support of the Indian population, as reported, combining agriculture, stock, and hunting, provided the Settlements at Okehumke and at Setarkys could be preserved *â€”Indeed the commencement of the reservation 5 miles north of Okehumke was with a view to that object, and the stipulation of a removal in certain events, was conceded in order to reconcile as far as practicable the Indians of those settlements to the general terms of the Treatyâ€”It was found on examination however that the line, first called for, encroached upon the settlement of Setarky approaching within sight of his improvements, and running through the centre of his grazing groundsâ€”Independent of the vicinity of the same line to the establishment at Okehumke, the closing line to its commencement would likewise have passed through the grazing grounds of that settlement; which would have proven vexatious to the Indian as run appearantly with no object, securing to a white population no additional advantages as to security, soil fit for cultivation, or grounds connected with agricultural establishments which might be madeâ€”It was deemed therefore advisable to extend the north line, and it has been done to 10 miles north of Okehumke, running East & West to the waters of the Ocklewaha, and the swamps of the Amaxura or Withlachuche riverâ€”from thence the boundary has been surveyed as called for in the Treaty to the south end of the Big Hammockâ€” The article required such a direction however to this line as to include Checuchateâ€”A line to the South end of the Big Hammock would, if continued in the same direction, have passed thro: and interferred with the Hammock & Savannah of Checuchatte, so as to have seriously affected the settlement in that quarterâ€”The continuation of the line for 4 miles therefore, and within the spirit of terms, â€œto include Checuchatteâ€ has been made to deviate a little to the west from the original directionâ€”From thence it is run and marked (with the exception of some interposing & impenetrable swamps as defined in the Treaty untill the same terminates in a great savannah the commencement of the extensive south western hunting groundsâ€”These savannahs are said to extend south & east to within a few miles of the Atlantic & independent of the impracticability of passing over them, from their peculiar character; the want of wood water &c it would have been impossible otherwise to have defined the line for the want of objects to markâ€”The South line running East & Westâ€” and the East line â€œNorth fifteen west for 50 milesâ€â€”as called for in the 2"" article of the Treaty will pass over these extensive grassy planes and cannot be defined; the closing line to the beginning may I presume to a certain extent be surveyed & marked; but the advancing of the northern line necessarily produced a change in this & its direction could not be ascertained untill the probable length of the Southern line was determined by known points and distances on the Atlanticâ€” I should have proceeded on the operation but the uncertainty of being able to penetrate by the Atlantic shore to the south; the time necessary to the accomplishment of the object; the exhausted state of my provisions, reduced condition of men & horses, the lateness of the season & importance of marking the reservations on the Appalachicola immediately all concurred to predth induce a postponement of what may be performed at any other time without detrement to the public serviceâ€”This line will doubtless terminate or unite with the eastern line on the same extensive district of savannahs & Ponds noted, and beyond which no designation of the Indian boundary can be madeâ€”If it could it would in my opinion, considering the general character of the territory South be unimportant, and unquestionably vexatious to the Indian population as seeming to deprive their Hunters of the use of a district of country which can never be converted to any use by white populationâ€”It is valued by the Indians only for the game which it affords. They do not & cannot reside on or near that district of savannahs & it is only visited by them during the dry and winter or hunting seasonsâ€”The Indians must necessarily form their settlements near the Northern & Western limits and sourses of Talachopco Creekâ€”Their permanent improvements therefore will be concentrated to a certain extent, while during the hunting season alone they will roam over the extensive savannahs South in quest of gameâ€”To have marks therefore on this district to restrict them in their hunts would appear vexatious without any objectâ€”It may be advisable however to let the Indians distinctly understand the extent of their reservations as well as it can be explained; but that the Presi- dent of the U.S. permits them to make use of those grounds during the hunting season, prohibiting however any extension of their settlements in that quarter or near the sea coast southâ€”The line from the Eastern extremity of the northern limit as extended it would be important to have deferred as far as practicable; it would exhibit their bounds in that quarter & in conjunction with the western line explain the probable termination Southâ€”The marking of this line might be easily connected, and at but inconsiderable additional expence, with the survey of the contemplated road to Cape Floridaâ€”by which reconnoisance in conjunction with the one directed to Cape Sable a mass of information may be collected shedding much additional light on the geography of Floridaâ€”I accompany this with a hasty sketch which will assist in explaining for a time the direction & relative position of points lines &c untill a more perfect map of the country can be prepared from the notes & surveys made I have this day drawn upon you in fav of M T C Gibbs for three hundred & nine dollars on account of expenditures to running Indian boundary * & Your ob Se JAMES GADSDEN THE HON J C CALHOUN [Addressed] The Department of War Washington D Columbia [Postmarked] St Augustine 23 March free [Endorsed] S*Augustine, 20 March 1824. Colâ€ James Gadsdenâ€” Reports his operations under the Commission to survey the Indian boundary line in Floridaâ€“From Co Gadson on the Subject of his Survey &câ€”",1824,March,20,1824-03-20,ST. AUGUSTINE,1144,1824.0320
"NA:SD, Misc. Letters:ALS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF STATE,GOVERNOR DUVAL,THE SECRETARY OF STATE,"HON, JOHN Q. ADAMS Secretary of State, SIR, I have the honor to inform you that the Legislative Council will hold their next Session at the new seat of Government Eighteen miles north of the Post of St. Marksâ€”I have ordered the Stationary and necessary supplies for the use of the Council; some expense must also be incurred in removing the records and publick documents &c from St. Augustine & this place to the seat of government I request that to meet these expenses $1,000 may be remitted to me at this point. I am uninformed as to the method pursued by the Governors of Territories in obtaining funds for these expenses, I never venture to draw on any department without special authority to do so. I request you will in- inform me what has been the usual practice in other Territories in relation to this subject. The emigration to this Territory is considerable and from information little doubt is entertained that the whole country between the Apalachicola and Suwannee rivers will soon be settled with a dense populationâ€”The appointment of a surveyor general for this Territory who should commence his labors immediately would serve to increase the emigration to Florida. I believe that in five years if the land is brought into market that I have seen and know to be rich and valuable a great part of the Florida debt will be reimbursed.â€ I am with great Respect Your Obed"" serv"" Wm. P. DUVAL [Addressed] Hon. John Quincy Adams Secretary of State Washington City [Postmarked] Pensacola March 26 Free [Endorsed] Duval Governorâ€”Pensacola 25 March 1824 Recdâ€”20 April Affairs of Floridaâ€”Recommends app"" of Surveyor Gen.'",1824,March,25,1824-03-25,PENSACOLA,276,1824.0325
"NA:OIA, Lets. Recd. (Fla.):ALS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF WAR,GOVERNOR DUVAL,THE SECRETARY OF WAR,"HONâ€ JOHN C. CALHOUN Secretary at War I have made out my account for my services as superintendent of Indian Affairs in Florida according to the principle of your letter of the 25"" of October last,"" a copy of which was inclosed to me lately, This letter I had never before seen and the original must have miscarried. I also received from Mâ€™Call our delegate in Congress, a copy of a letter from your department dated 24"" of December last "" on the subject of concentrating the Indians this copy came to hand by the mail of yesterday. The original letter never has been received, In making out my estimate for the Indian Department of Florida, I have included as you will see my compensation for two quarters of the present year The first quarter is charged at the rate of $1500 per annumâ€”as their was neither agent or sub agent in the Territoryâ€”I do consider the allowance of $750. intirely too little for the time past when their was an agent in Florida, I have been compelled the whole time the agent was in Florida to attend in person to the Southern Indians, for the agent could not attind to more than the Indians between the Appalachicola & Suwanee, when the Indians are concentrated, $750 per annum, may be sufficient, but under the peculier circumstances in which I have been placed and more than usual, * No reply found. expence I have incured in my Superintendency I feel that, justice has not been rendered to me for, the services I have performed up to the end of the last year, and some further allowance ought to be made to me up to that time, In future I shall not be compelled to incur half the expence, I have heretofore been subjected to *â€” I have the honor to remain your obt sev"" Wm P. DUVAL [Addressed] Honle John C. Calhoun Secretary of War Washington Cityâ€” [Endorsed] Pensacola, Mar. 26"" 1824. His Excell, Wm P. DuVal. Relative to the allowance for his servicesâ€”thinks it not sufficientâ€” hopes some addition may be made to it.â€” [Enclosure: DS] Account of the Superintendent of Indian Affairs [March 25, 1824] The United States, To W* P. Duval Dr For the allowance for Clerk hire, office rent & as Superintendent of Indian Affairs in the Territory of Florida from the 20"" June to 22"" of September 1822 3 months and 2 days at $1500 prannum there being no Indian Agent in Florida $383.33 For the same allowance from the 15th March 1823 to the 30"" of September 6 Months & 15 days at $750 prannum 406.25 For the same allowance from the 30"" September to the 31"" December 1823 3 months at $1500 prannum. the Agent being absent from the Territory 375.â€” $1164.58 PENSACOLA March 25"" 1824 I do hereby certify that the above account is correctly stated and that the service charged therein have been faithfully performedâ€” Wm P. DUVAL Governor of the Territory of Florida & Supt. of In"" Affairs Received W"" P. DuVal Governor of Florida & Supt. of In"" Affairs [Endorsed] Gov"" DuVal's account for his Services. amount $1164.58.",1824,March,26,1824-03-26,PENSACOLA,528,1824.0326
"NA:SD, Misc. Letters:LS",Correspondence,WILLIAM F. STEELE TO THE SECRETARY OF STATE,WILLIAM F. STEELE,THE SECRETARY OF STATE,"SIR, The statement of the late Judge of the County Court of Escambia who now resides at a distance without the limits of this Territoryâ€”and which statement I had the honor heretofore to inform you I should forward to the Department of State I have not yet been enabled to obtain. Without making any farther delay therefore, in the proceeding on this account, I must be content Sir to rest the investigation upon the documents which were transmitted with my previous communication"" viz' the Bill of Indictm"" vs the Coulons found at the Term of the County Court in Februaryâ€”the statement of the Foreman of the Grand Jury who found the Bill and of the Juror M"" Wyatt together with the duly certified copy of the grounds taken on the motion to quash the Indictmentâ€”all which taken together will as I conceive prove the last attempt to charge me with official misconduct nay, even with crime for a legal and Official act in the insertion of alias Christian names of parties defendantsâ€”(which were considered mere form by the Jury as well as the Attorney-& which were afterwards by the Attorney to the Court offered to be considered as entirely surplusage) to be one of the most malignant attempts to pervert the laws to wicked purposes which has ever occurred. Satisfied that justice will be the guiding principle in the investigation upon this occasion"" I have the honor to remain Sir with the highest consideration Your most obed"" Servant WILLIAM F STEELE Attorney of the US &c. &c HON. JOHN Q. ADAMS Secâ€ of State Washington City- [Endorsed] Steele W. F. Pensacola, 30 March 1824 Recd 22 April Vindicatory.",1824,March,30,1824-03-30,U. S. Attorney's Office PENSACOLA,278,1824.0330
"NA:GAO, Misc. Treas. Acct. No. 49,199 (1824):DS",Abstract,"ABSTRACT OF GRAND AND PETIT JURORS, DISTRICT OF EAST FLORIDA",,,"[April Term, 1824] For Attendance For travel Total Amount Names Places of abode No of Amount. No of Amount *:'or' for Days Miles Drs. Cts. Drs Cts Drs. Cts. GRAND JURORS Charles Seton Fernandina 3 3 75 140 7 10 75 | Ch* Seton Duncan H Campbell Do 3 3 75 140 7 10 75 | D H Campbell Francisco Ponce Do 3 3 75 140 7 10 75 | Franco D. Pons John Harrison Amelia Island 3 3. 75 140 7 10 75 | John Harrison Samuel Harrison Do 8 3 75 140 7 10 75 | Sam! Harrison Ephraim Harrison Do 3 3 75 140 7 10 75 | Epâ€ Harrison Ferdinand D Me Donald Do 3 3 75 || 140 7 10 75 | Ferd D. McDonald John D. Waughn Spells Swamp 3 8 75 100 5 8 75 J. D. Vaughn Lewis Fleming Flemings Island 3 3 75 70 8 50 7 25 | L* Fleming Wm H. G. Saunders Do 8 3 75 70 3 50 7 25 | W H G Saunders Jacob Summerlin near St Marys river 3 3 75 60 3 6 75 || Jacob Sumerall William Frink St Marys River 3 3 75 80 4 7 75 | William Frink John Broward Nassau River 3 3 75 40 2 5 75 John Broward John G. Barrow St Marys River 3 3 75 60 3 6 75 John G. Barrows Andrew Branning Black Creek 3 3 75 50 2 50 6 25 | Andrew Braning Stephen Eubank Nassau River 3 3 75 70 3 50 7 25 | Stephen Eubank Charles Broward Do 3 3 75 50 2 50 6 25 | Ch: Broward ABSTRACT OF GRAND AND PETIT JURORS, DISTRICT OF EAST FLORIDA For Attendance For travel Total Amount - - - - Names Places of abode No of Amount No of Amount origin:"" for Days Miles Drs. Cts. Drs. Cts. Drs Cts GRAND JURORS-Con. William Sterrett Nassau Neck 3 3 75 50 2 50 6 25 | William Sterrett Seymour Pickett Six mile Creek 3 3 75 6 30 4 5 | Seymour Pieckett Daniel Kemp St Johns River 3 8 75 10 50 4 25 | Daniel Kemp Joshua Hickman Mulberry Grove 8 8 75 46 2 30 6 5 | Joshua Hickman William Fitzpatrick Sr Cedar Point 3 3 75 84 4 20 7 95 Joseph Hill for William Fitzpatrick 66 82 50 | 1826 91 30 173 80 PETIT JURORSâ€“ Wm. G. Dawson Jacksonville 5 6 25 6 25 Francis J Ross Do 3 3 75 3 75 Daniel C. Hart Jacksonville 4 5 5 Matt. H Phillips Matthew H Phillips Do 4 5 5 Dan: C Hart John D. Bludworth Do 3 3 75 3 75 J, D, Bludworth Zach: L. Hogans Do 3 3 75 3 75 Z. L. Hogans Isaac Tucker near Do 4 5 6 30 5 30 | Isaac Tucker Daniel Vaughn Amelia Island 5 6 25 140 7 13 25 | Dan! Vaughan Thomas Suarez Do 1 1 25 140 7 8 25 J. P. Suarrice by Jn L. Doggett Peter Suarez Do 4 5 140 7 12 P. Suarez Lewis Baily St Marys River 4 5 80 4 9 Lewis Bailey Britton Knight Do 2 2 50 80 4 6 50 | Britton Knight Uharles Love Do 4 5 | 80 4 9 | Charles Love Hardy Lannier Black Creek 4 5 50 2 50 7 50 Hardy Lannier George Branning Do 4 5 50 2 | 50 7 50 George Braning Elijah Higginbotham Little St Marys 4 5 | 70 3 50 8 50 | Elijah Higginbottom Joseph Watts Spells Swamp 3 3 75 50 2 50 6 25 Joseph B Watts Samuel Eigle Nassau Neck 4 5 40 2 7 Samuel Eigle Jesse Turner Do 4 5 30 1 50 6 50 | Jesse Turner Burben L Lowther Boggy Swamp 3 3 75 48 2 40 6 15 B. L. Lowther William Walker Bells River 5 6 25 100 5 11 25 | William Walker Lewis Thigpin near Trout Creek 4 5 | 24 1 20 6 20 | Lewis Thigpin John Price Six mile Creek 4 5 6 30 5 30 || John Price 151 188 75 2960 148 336 75 | | DISTRICT OF EAST FLORIDA April Term 1824 ss. Stated by WATERS SMITH Marshal. I do hereby certify that the Jurors named in the foregoing abstract were duly summoned, and for their attendance and mileage at this Term, are legally entitled to the compensation affixed to their names respectivelyâ€” Examined and allowed JOS LSMITH Judge &c JAMES STINGLE Clerk Supâ€ Court [Endorsed] NÂ° 1 Jurors Compensation to Jurors April Term 1824 Doll"" 336.75",1824,April,,1824-04,"Abstract of compensation to Grand and Petit Jurors for their attendance at a Superior Court held at Jacksonville for the District of East Florida, and for their travel to and from the said Court.",788,1824.04
"NA:GAO, Misc. Treas. Acct. No. 48,058:DS",Abstract,"ABSTRACT OF GRAND AND PETIT JURORS, DISTRICT OF WEST FLORIDA",,,"Abstract of compensation to Grand & Petit Jurors, for their attendance at a United States District & Superior Court, held at the Big Spring, in Jackson County for the District of West Florida, and for their travel to and from the said Court at the April Term 1824.â€ For Attendance For travel Total Amount - - f J f Names Place of Abode No. of Amount. No. of Amount origin:#Â£a #"" Or days miles Dolls. Cts. Dolls Cts. Dolls Cts. GRAND JURORS 1 Joseph Russ Jack"" County 2 2 50 40 8 || 00 10 || 50 Joseph Russ 2 John M Pope st 46 2 2 | 50 40 8 || 00 10 || 50 Jno M Pope 3 William S. Pope dis 66 2 2 || 50 40 8 || 00 10 50 W. S. Pope 4 John Trussel 44 6t 2 2 50 70 14 || 00 16 || 50 Jn Trussell 5 John B. Roberts did 64 2 2 50 70 14 || 00 16 || 50 John B. Roberts 6 James Erwin 64 &d 2 2 50 70 14 || 00 16 50 James Ervin 7 Silas Wood so did 2 2 50 50 10 || 00 12 50 Silas Wood 8 James S. Murphy st did 2 2 50 50 10 || 00 12 || 50 J S Murphy 9 Nathan WilliamsOn did did 2 2 50 50 10 || 00 12 50 Nathan Williamson 10 James B. Webb st dis 2 2 50 7 1 | 40 3 90 James B. Webb 11 John Miller did 44 2 2 50 6 1 20 3 | 70 John Miller 12 William Miller dis did 2 2 50 6 20 3 || 70 Wm Miller 13 Levin Brown 46 6s 2 2 50 70 14 16 || 50 Leavin Brown 14 Isaac Brown did dis 2 2 50 70 14 || 00 16 || 50 Isaac Brown 15 James Bright did did 1. 1 || 25 5 1 || 00 2 25 Ja"" Bright 16 Nicola H. Mitchell td (is 1 1 || 25 5 1 || 00 2 25 N, H, Mitchell 30 167 || 30 PETIT JURY his 1 Brinkley Lasiter Jackson Cty 2 2 || 50 6 1 | 20 3 70 Brinkley W Lasiter mark 2 Jourdan Smith did 64 2 2 50 50 10 || 00 12 || 50 Jurdan Smith 3 Benj: Hambleton did &d 2 2 50 50 10 || 00 12 50 Benj Hambleton 4 John Williams 46 66 2 2 50 50 10 || 00 12 || 50 John Williams 5 Anthony Burns did 64 2 2 50 5 1 || 00 3 || 50 Anthoy Byrns 6 John W. Minter 44 46 2 2 || 50 6 1 | 20 3 70 John W Minter 7 Wiley Blunt 46 46 2 2 50 45 9 || 00 11 || 50 Wilee Blount his 8 William Lloyd 44 4s 2 2 50 58 11 | 60 14 || 10 William x Lloyd mark 9 Mathew Marshal 44 st 2 2 50 45 9 || 00 11 50 Mathew Marshall his 10 William C. Martin st 44 2 2 50 50 10 || 00 12 || 50 William C. x Martin mark 11 Claiborne Lacy 44 44 2 2 50 25 5 : 00 7 50 Claburn Lacy 12 William S. Mooring 66 64 2 2 50 45 9 || 00 11 || 50 W. S. Mooring 13 Owen Williams 46 64 2 2 50 50 10 || 00 12 || 50 Owen Williams 14 Jonathan Bunker did 64 2 2 50 5 1 || 00 3 || 50 Joao Bunker his 15 Joseph Brooks st 44 2 2 50 70 14 || 00 16 || 50 Joseph x Brooks mark - Doll's. 316 80 Deduct. overchd for mileage 120 | 90 $195 || 90 DISTRICT OF WEST FLORIDA April Term 1824 ss. Stated by WILLIAM SEBREE Marshal W. F. I do hereby certify, that the Jurors named in the foregoing Abstract were duly Summoned, and for their attendance and mileage, at this Term are legally entitled to the compensation affixed to their names respectively. JOHN MILLER Clerk by W. HASELL HUNT DC Examined and Allowed H M BRACKENRIDGE Judge Sup' C*W. F. [Endorsed] Abstract No 1. compensation to Grand & Petit Jurors April Term 1824",1824,April,,1824-04,,729,1824.04
"NA:SD, Misc. Letters:LS",Correspondence,"ALEXANDER SCOTT, Jr., TO THE SECRETARY OF STATE","ALEXANDER SCOTT, Jr.,",THE SECRETARY OF STATE,"SIR Understanding that certain charges had been preferred against W. F. Steele Esq."" U.S. Attorney for this District, among which one is founded upon a letter addressed by me to the Honâ€ H. M. Breckenridge,"" I take the Liberty of stating, that this was not intended for the purpose of invading the private or moral character of M"" Steele, as I would be amongst the first in affording a testimonial of the honorable and correct deportment of this Gentleman since his residence at this place Although I considered at the time and still maintain it to have been the duty of M Steele to have proceeded Officially in the suit alluded to, and in requesting him to do so was actuated by the purest motives of my official duty, yet conceiving it incumbent upon every honest citizen to lend his aid however feeble in protecting an oppressed individual I beg leave to submit to you my testimony of the uniformly zealous and independent manner in which he has discharged his Official duties in all cases wherein he has deemed it his duty to appear. I much regret that a letter of mine should be used in a clandestine and insidious attempt to effect the destruction of any individual. More Especially in the present instance in which I confidently assert that the proceedings against the District Attorney are not sanctioned by the unprejudiced and enlightened part of the Communityâ€ I have the Honour to be, Sir Your very Obedient Servant ALEX SCOTT Jr. HONORABLE JOHN QUINCY ADAMS Secretary of State Washington City [Addressed] Honorable John Quincy Adams Secretary of State Washington City [Postmarked] Pensacola April 2 Free [Endorsed] Scott Alexander jun Pensacola, 1 April 1824 Recd 22"" Exculpatory of M* Steele, Dist Attâ€ Steele behaved in a riotous and drunken manner on several occasions; an affidavit by John Innerarity that Steele tried to intimidate him while he was foreman of the Grand Jury; and a list of the indictments brought by Steele before the May and November Terms, 1823, and the February Term, 1824, of the Superior Court.",1824,April,1,1824-04-01,COLLECTORS OFFICE PENSACOLA,347,1824.0401
